title,tier,image_filename,frame,hint_1,hint_2
The Truman Show,Easy,The_Truman_Show.jpg,last,"Where the hell's Fiji? Near Florida?","Good morning, oh and in case I don't see ya, good afternoon, good evening, and good night!"
The Two Popes,Medium,The_Two_Popes.jpg,last,"In 1978, we had three popes",
The Untouchables,Medium,The_Untouchables.jpg,first,"What are you prepared to do?",
The Usual Suspects,Easy,The_Usual_Suspects.jpg,last,"How do you shoot the devil in the back? What if you miss?","Keyser Söze!""
The Warriors,Medium,The_Warriors.jpg,first,"Can you dig it?",
The Wicker Man,Easy,The_Wicker_Man.jpg,last,"Don't you see that killing me is not going to bring back your apples?",
The Witch,Medium,The_Witch.jpg,last,"Black Phillip, I conjure thee to speak to me.",
The Wolf of Wallstreet,Easy,The_Wolf_of_Wall_Street.jpg,first,"The name of the game, moving the money from the client's pocket to your pocket.",
The Wrestler,Medium,The_Wrestler.jpg,last,"Give this to your son, it's an authentic Randy the Ram action figure. Tell him not to lose it, it's a $300 collectors item.",
The Zone of Interest,Hard,The_Zone_of_intrest.jpg,first,"The life we enjoy is very much worth the sacrifice.",
Thief,Medium,Thief.jpg,first,"Plus, I've got a major score for you in Palm Springs in six weeks.",
There Will be Blood,Medium,There-Will_Be_Blood.jpg,last,"I'm finished.",
They Live,Medium,They_Live.jpg,last,"I have come here to chew bubblegum and kick ass... and I'm all out of bubblegum.",
This is Spinal Tap,Easy,This_is_Spinal_Tap.png,last,"No, these go up to 11."
Three Kings,Medium,Three_Kings.jpg,first,"I'm talking about millions in Kuwaiti bullion.",
Tinker Tailor Soldier Spy,Hard,Tinker_Tailor_Soldier_Spy.jpg,last,"I know that Moscow has planted a mole, and I know it is one of five men."
Titanic,Hard,Titanic.jpg,first,"Is there anyone alive out there? Can anyone hear me?",
Top Gun,Easy,Top_gun.jpg,last,"I feel the need... the need for speed."
Total Recall,Medium,Total_Recall.jpg,first,"Killian, give them the air!","ARRRGGGHHHHH!!!!!"
Trading Places,Hard,Trading_Places.png,last,"Looking good, Billy Ray!",
Traffic,Medium,Traffic.jpg,last,"Frankie Flowers man!"
Training Day,Medium,Training_Day.jpg,last,"To protect the sheep you gotta catch the wolf, and it takes a wolf to catch a wolf.",
Trainspotting,Medium,Trainspotting.jpg,first,"Choose life."
True Grit,Medium,True_Grit.jpg,first,"Mister Cogburn, in your four years as US Marshal, how many men have you shot?",
Unbreakable,Medium,Unbreakable.jpg,last,"In a comic, you know how you can tell who the arch-villain's going to be? He's the exact opposite of the hero.",
Uncut Gems,Easy,Uncut_Gems.jpg,last,"Arno. Listen. No bullshit... Kevin Garnett is comin' to my office right now. With $175,000 cash.",
V for Vendetta,Medium,V_for_Vendetta.jpg,last,"Remeber, remember the 5th of Novemeber."
Vice,Medium,Vice.jpg,last,"Well, George, I, uh... I'm a CEO... of a large company. And I have been Secretary of Defense... and I have been White House Chief of Staff. The Vice Presidency is a mostly symbolic job.",
Warrior,Medium,Warrior.jpg,last,"Ahab! You Godless sonofabitch! You stop the ship, you Godless sonofabitch!",
Wedding Crashers,Easy,Wedding_Crashers.jpg,last,"Ma, get the meatloaf.","You motorboating son of a bitch."
Whiplash,Medium,Whiplash.jpg,first,"Were you rushing or were you dragging?",
White Men Cant Jump,Hard,White_Men_Cant_Jump.jpg,last," Look man, you can listen to Jimi but you can't hear him. There's a difference man. Just because you're listening to him doesn't mean you're hearing him.",
Withnail and I,Medium,Withnail_and_I.jpg,first,"We want the finest wines available to humanity. And we want them here, and we want them now!"
Zero Dark Thirty,Medium,Zero_Dark_Thirty.jpg,first,"You can't run a global network of interconnected cells from a cave",
Zodiac,Medium,Zodiac.jpg,first,"I am not Paul Avery!",
